number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
50745,2000ET165,4.23,3.275,2.9162,0.0473,False,2.91293598078935
50746,2000EJ170,7.62,3.53329,2.9817,0.0535,False,2.9774297567719543
50765,2000FM,3.46,2.96666,2.7202,0.111,False,2.703390269246962
50776,2000FS12,4.79,16.7993,2.6506,0.1367,False,2.625717472223072
50786,2000FY19,7.29,12.9457,3.0457,0.0871,False,3.0341250406396534
50800,2000FU26,5.09,7.1643,3.0295,0.2139,False,2.9593839266136115
50806,2000FH28,6.27,4.67107,2.9387,0.0788,False,2.929561951705648
50811,2000FZ29,3.59,5.16138,2.8712,0.0337,False,2.8695691402666856
50816,2000FU31,4.3,67.937,2.5863,0.1473,False,2.558088280762656
50823,2000FL35,7.03,3.97439,3.1535,0.1589,False,3.1134337811155834
50824,2000FU35,7.05,8.1349,2.7439,0.0422,False,2.7414556878448617
50837,2000FG42,5.3,5.61851,3.0793,0.0676,False,3.072256112582728
50840,2000FQ43,5.39,14.8974,2.9442,0.1352,False,2.9171673226337043
50847,2000FG46,15.89,6.22415,3.0457,0.113,False,3.0261922546776816
50850,2000FX46,6.64,3.12448,3.0584,0.1056,False,3.0412995332708745
50860,2000FD65,4.2,4.9377,2.6345,0.1587,False,2.60111258801815
50864,2000GM2,8.52,4.03423,3.0185,0.0645,False,3.0122145986639857
50923,2000GQ60,3.79,11.068,2.7657,0.0687,False,2.759165657547062
50945,2000GJ72,5.21,63.436,3.1217,0.135,False,3.0931227047321856
50951,2000GE78,4.85,143.07,2.9949,0.0754,False,2.9863746228537686
50953,2000GA79,7.34,185.1,3.2284,0.1242,False,3.2034031591995102
50967,2000GE86,3.9,4.80899,2.7177,0.1211,False,2.697698577281116
50973,2000GZ90,5.17,58.163,2.9744,0.0751,False,2.96600031680697
50980,2000GE93,9.21,14.8814,3.0669,0.0832,False,3.0562666574789303
50994,2000GS94,8.42,3.99973,3.1673,0.0601,False,3.161574665695344
51000,2000GK98,5.83,17.9868,2.6931,0.1738,False,2.652113631846454
51004,2000GL102,4.22,13.1865,2.9819,0.0729,False,2.9739659251363557
51009,2000GF103,8.43,73.76,3.2084,0.1987,False,3.144425660262547
51020,2000GU108,4.87,9.8807,2.6721,0.1426,False,2.644792206537419
51033,2000GD122,10.07,5.77489,2.7978,0.2004,False,2.7410442835525344
51034,2000GB124,4.06,13.7913,2.5853,0.0337,False,2.5838315332723125
51037,2000GX130,6.81,6.37285,3.0134,0.0777,False,3.004289844177523
51048,2000GB137,9.98,14.601,3.1947,0.0919,False,3.181180799868818
51052,2000GP137,4.46,25.424,3.1418,0.1972,False,3.0801053518663997
51058,2000GA142,13.3,20.042,3.2282,0.1267,False,3.2021842006531354
51063,2000GO143,5.33,5.20572,3.0793,0.0525,False,3.07505341150352
51069,2000GV157,5.4,3.90387,3.1341,0.0844,False,3.1229173886791433
51078,2000GZ163,8.72,6.9812,2.9903,0.113,False,2.9711470923474637
51092,2000HH,5.74,5.0102,2.6179,0.1227,False,2.5981186422758547
51096,2000HP7,12.0,8.0869,3.0814,0.0932,False,3.067987921375378
51115,2000HU29,10.61,28.305,3.1525,0.2107,False,3.081728805766649
51123,2000HS35,7.8,14.6692,2.6998,0.1751,False,2.6580898552690804
51127,2000HH37,4.34,99.05,3.0298,0.0877,False,3.0181259743713196
51131,2000HM41,5.33,10.1017,2.6458,0.0825,False,2.636780638664838
51138,2000HC45,6.09,11.5022,2.9846,0.0666,False,2.977973457538967
51155,2000HH56,5.83,10.7403,2.9748,0.0808,False,2.9650733994996576
51163,2000HU58,7.12,4.05347,2.9791,0.0676,False,2.9722853197139627
51195,2000HZ101,7.04,16.0191,3.0885,0.0635,False,3.0822669082446343
51197,2000JJ,5.11,9.1255,2.6304,0.0927,False,2.619073719989934
51225,2000JW24,4.72,8.696,2.556,0.2317,False,2.4864443111569905
51227,2000JK25,9.1,9.84392,3.0177,0.0367,False,3.015667060256293
51233,2000JX31,10.64,9.5589,3.1507,0.0889,False,3.1382249810595684
51240,2000JW36,9.52,11.1493,3.2117,0.1261,False,3.1860627175682783
51254,2000JK57,12.34,7.6713,3.2305,0.0696,False,3.222665971720954
51291,2000KK29,21.08,17.40129,3.1785,0.1313,False,3.150982709679204
51305,2000KL58,6.7,7.2494,2.9803,0.0587,False,2.975160974354189
51314,2000KX73,10.18,12.4965,3.2327,0.0706,False,3.2246334655295157
51318,2000KT77,6.43,10.1664,3.023,0.0751,False,3.0144630707730875
51319,2000KF80,11.7,9.0534,3.1865,0.0769,False,3.177064170228322
51336,2000NV26,9.83,7.4295,3.1633,0.06,False,3.1576009262090103
51361,2000SS124,8.92,6.8283,3.1626,0.1082,False,3.144032838846849
51391,2001DM21,3.55,6.09364,2.7343,0.1896,False,2.684703669449208
51434,2001FG19,11.47,8.027,3.169,0.106,False,3.1511462651873208
51521,2001FJ113,3.02,75.88,2.2547,0.1573,False,2.2266309342170345
