period,diameter.value
3.70584337,35.126
5.392191201,3.816
22.087981361,7.037
2.518651406,4.188
67.167630955,3.074
18.39701847,5.952000000000001
28.835716977,32.812
29.049621468,6.99
2.689031902,5.495
328.255074307,2.7260000000000004
24.672562793,9.696
2.877877271,7.436
9.621318789,6.616
36.754898362,10.619000000000002
9.552279827,5.9
4.150309363,5.63
4.30045595,4.636
163.381565595,6.526
190.32122593,8.378
3.036223004,4.062
6.137745954,7.218
15.784603009,9.946
3.782862913,8.467
13.791829223,9.43
53.93773297,10.532
22.754981391,4.062
137.446527696,9.861
15.092679698,2.557
214.439709704,15.67
9.045201248,1.454
4.416247701,7.1
10.232481583,10.652
7.472917197,2.469
227.300700763,7.658
7.758435234,5.694
435.318478219,11.55
4.178955329,6.685
54.495854082,7.472
13.83081673,8.079
280.25083207,12.71
5.299173237,15.720999999999998
18.74830364,19.381
11.632047208,7.974
11.62479736,14.055
106.015518476,9.979
8.884706376,20.402
61.985852193,1.871
3.81073106,2.808
9.776794882,9.024
81.4323992,2.212
5.656888774,6.186
67.123983719,7.3
106.349869015,4.983
2.569925976,2.763
7.348337766,6.079
24.637664815,13.349
37.197383681,1.952
5.707402501,3.479
3.022995655,2.54
99.41755941,5.481
190.824341836,8.233
4.546897082,6.302
106.392511933,3.066
8.812867903,15.46
3.380879336,6.229
6.686049796,7.66
6.878150173,8.963
6.199444553,30.022
2.934888613,18.316
13.07273105,5.698
2.606500218,6.22
6.857790484,5.291
82.822517913,8.099999999999998
26.073891462,5.294
21.11317387,11.103
13.213161982,8.388999999999998
19.85958101,3.978
14.814928829,10.534
11.679597447,9.667
135.244926782,5.266
5.296102476,6.29
4.93105875,1.777
7.516704231,2.882
127.006807583,5.394
55.488377036,3.816
3.583021957,2.06
68.833668042,10.956
81.661635887,3.119
133.470158971,5.452000000000001
50.915589751,4.805
10.944428667,117.875
30.632020166,15.998
5.973984983,9.335
3.276023491,5.713
10.598518118,3.029
136.523588248,3.213
3.483345436,9.222
10.874398786,4.613
119.80768879,3.771
4.475073844,3.113
6.656872593,3.2460000000000004
17.180341628,2.145
13.194276173,4.751
128.158762982,5.246
3.000400835,6.79
3.499238278,5.736
3.351728947,5.04
5.368098785,15.814
95.002640529,2.802
273.063793986,5.829
12.033932551,2.823
5.555339716,5.503
11.664242862,7.402
15.175242029,6.648
8.96971023,3.382
19.864709646,12.27
5.416636893,21.241
78.552858958,14.277
9.428484327,7.783
20.334606986,5.636
5.718994362,18.064
16.289097621,9.5
8.381942168,19.679
4.71120581,6.726
2.443947773,2.939
7.922658309,19.114
13.161445433,3.657
23.388756607,3.532
8.560264837,50.643
4.475773104,11.761
27.556234068,7.679999999999999
3.032851789,3.027
5.427077858,7.897999999999999
8.332209763,8.885
3.80766407,7.101
241.990500755,4.908
39.674035068,5.978
642.004320346,3.8989999999999996
266.932589331,5.34
9.844408059,7.59
4.605449553,1.947
114.850383162,4.12
7.008247581,12.11
18.683327741,6.119
24.942540406,4.747
5.590087216,8.457
45.077239143,6.708
4.336656369,3.861
6.125916485,10.274
6.727151981,4.774
2.660797492,3.261
5.269428865,6.936
217.713215536,11.414000000000001
10.81409559,7.591999999999999
3.245009461,9.714
592.261050635,6.822
4.148069425,4.846
2.599205762,2.882
169.209148451,8.323
4.740768871,6.25
13.384925457,6.868
11.511847006,2.65
8.359272889,11.531
53.421406517,30.112
11.315765532,4.605
25.825213538,5.345
19.390952773,31.456
29.937435435,6.577000000000001
51.218097744,4.419
13.067446127,3.396
6.884124586,2.088
12.283335717,10.27
8.386291806,3.609
5.297917423,3.489
79.750113856,5.901
12.063534133,5.81
9.844529355,6.385
5.047501747,6.811
4.183311729,8.042
18.824989804,4.63
330.737872528,16.794
34.078580748,6.679
12.342153809,9.146
14.468071237,4.717
100.939589707,4.874
7.257198143,2.35
102.173707888,1.705
5.144203403,2.242
4.308304983,7.46
11.019025549,11.383
8.532892292,9.302
6.358974101,3.233
8.635751507,8.589
23.866447953,8.39
15.86987184,7.672999999999999
8.856766373,4.416
2.707363399,2.931
8.391134615,17.4
17.567855886,8.747
73.786787239,8.57
237.263446668,2.837
14.35849038,13.902999999999999
46.732290157,4.645
19.759941459,2.719
40.712151607,3.837
155.373095093,2.279
6.17187452,1.409
17.793024512,13.76
3.903950893,3.097
5.305630128,2.48
11.825999051,18.847
7.874848786,2.745
21.007830454,29.576
8.05500226,5.402
12.177815798,4.951
13.586639462,6.426
116.365471147,8.643
7.124789138,12.287
2.799403139,3.695
5.366236426,2.645
5.444512922,7.362
5.321524919,4.126
17.994654115,6.889
180.166500654,5.37
5.302198405,5.337
2.735226215,10.023
4.225314567,8.859999999999998
3.69547257,8.048999999999998
4.787994782,4.5
6.733268876,13.842
5.533498824,4.562
50.107804558,10.163
356.250110391,5.459
12.954488951,17.802
37.488905625,2.059
241.545338729,13.059
2.346596201,5.79
9.651113201,2.987
4.60628156,6.041
6.152672393,3.994
21.995627524,7.371
2.938763377,8.413999999999998
2.724188822,6.093
12.353164868,5.931
4.495281493,10.703
6.94293187,11.372
17.694022654,3.071
8.320937409,8.215
10.548335791,2.584
247.230920604,5.981
10.377759447,6.674
9.533907368,13.679
5.284812182,6.396
12.228435314,2.576
77.926389994,4.298
7.980599895,14.251
165.023361968,7.11
6.878569971,3.789
36.524687653,3.378
60.033926663,7.042
3.184493643,4.289
5.206390954,2.101
120.985987379,4.611
5.324131553,5.463
203.729478079,3.594
12.2473056,26.0
4.183699032,7.024
39.138940525,5.585
76.361048546,4.601
43.541659111,1.96
259.498715065,21.238000000000003
18.11742513,4.53
176.908694098,3.058
28.581200859,8.808
131.381965327,3.41
6.773466198,4.146
13.307515636,3.854
38.07887583,7.486
2.998141866,5.043
2.940492421,6.438
21.946293336,8.166
10.820791205,14.312
251.97274961,2.92
10.309711673,38.0
3.681536316,7.53
5.799173551,4.0
43.835612754,7.067
112.818567151,6.89
34.918637647,2.317
16.552969076,10.789000000000001
25.661667584,3.7539999999999996
2.828758237,8.651
6.247774756,7.234
4.962696308,4.1
265.594624968,15.915
34.451355324,13.329
281.854459711,3.102
11.209957318,5.186
16.53083104,6.451
7.012176153,6.956
25.066807783,12.620999999999999
17.914388016,6.684
221.614030503,1.678
296.266469181,2.609
4.0696647,6.333
270.055794157,7.397999999999999
3.88034554,8.34
98.679662549,3.98
101.335976228,4.587
21.793608907,14.197
2.910595873,2.51
407.57771796,6.729
20.55522601,5.74
308.751429493,5.787
110.01190354,8.548
2.54577117,3.13
8.630181276,20.962
9.520063217,10.549
4.280640538,4.922
50.870418296,7.96
5.701939827,2.793
256.563434771,13.757
5.748381099,9.04
32.266522065,4.359
96.389345316,3.11
2.721867454,1.874
23.621886282,3.593
10.153798428,8.011
2.786096478,10.26
29.01555923,1.855
7.926653354,3.0239999999999996
8.498482358,2.662
3.968009414,50.489
159.673581732,2.823
10.732274717,3.568
17.572135566,61.495
5.906333192,6.751
8.896100003,11.2
24.218186872,5.506
18.321987832,2.336
48.122650197,6.948
13.281212676,4.884
6.351814465,3.614
34.323930005,9.971
2.831336306,8.670999999999998
2.58175884,4.466
70.362631138,4.66
5.51112102,3.431
9.015863462,5.25
60.934496655,4.382
20.35014531,6.418
91.498506166,3.04
18.391078675,4.21
5.328829662,3.58
16.137403347,3.404
3.399695501,12.361
8.298902772,5.201
240.989879955,3.432
14.050141843,1.383
278.169348147,18.438
74.688063597,1.826
13.290421726,11.36
35.316475631,5.078
200.095785252,2.71
69.935158979,5.995
6.426413115,7.111
26.917797377,20.453
17.057148307,4.818
12.39743339,9.257
30.549436996,4.017
5.793630136,6.73
8.602063355,5.738
3.646557805,10.566
12.404430711,2.662
12.801096907,51.4
7.080677856,4.07
273.868970283,3.959
2.756744666,4.515
18.838015938,2.442
107.997834664,2.358
28.493196882,18.134
13.933135886,2.226
9.503913039,9.36
13.281969883,3.768
10.027458888,4.651
6.265442156,22.523000000000003
28.143846892,82.87799999999999
4.69996219,2.833
3.463724374,2.061
95.706688701,3.484
32.03109844,3.787
7.293595139,34.283
64.849806123,3.179
117.059293848,11.728
3.88013923,15.169
8.447102643,5.646
7.778771269,10.386
43.695993597,4.822
2.842610644,4.65
24.884700208,5.747
8.124454336,5.338
43.198212055,2.802
14.045365888,4.859
7.276221309,194.6
38.97641219,23.2
257.016009986,9.322
152.418366192,6.574
5.829573953,7.356
6.668500027,12.37
279.960648782,3.609
4.582754146,2.9960000000000004
2.359017172,4.792
84.288047557,8.92
21.492914103,4.152
29.9223605,16.754
7.417834179,3.671
3.64865225,14.252
6.783396872,46.9
34.853587068,6.259
8.835850498,4.111
7.2095848,253.31
8.335680882,5.813
5.601134201,10.942
9.021545115,4.275
92.233964378,3.282
5.716853931,3.705
13.269318076,5.3
8.241813833,3.362
8.785374716,7.91
46.83578699,2.974
14.131549204,7.476
14.838814627,2.12
32.605512286,2.836
72.871458596,4.542
6.677997498,2.415
81.868012225,2.007
3.711802001,5.373
7.807822113,44.0
11.998794756,4.454
183.872333077,5.132999999999999
5.328656023,6.21
4.154383015,4.98
80.229000823,3.778
28.399322214,2.506
92.861444519,3.436
5.684156994,3.67
224.747314084,4.7
25.976065815,7.703
74.572907862,2.624
2.997499629,8.718999999999998
97.490011897,13.7
6.241874671,3.912
160.032361078,3.859
102.822428097,2.945
26.577789364,2.236
14.125962879,7.711
6.896063558,3.223
19.986562449,4.109
210.002978783,3.762
18.840127934,5.641
4.929487373,3.693
7.739524108,10.413
11.510803606,17.498
5.736095413,2.394
32.128317873,7.939
19.213063411,9.164
6.778280927,11.184
2.70635668,2.451
5.73870892,2.401
6.91139751,9.837
20.038122941,3.788
261.44413312,4.738
22.375839328,13.302
209.959574488,4.243
7.156321818,4.998
12.511596538,7.32
18.582628419,23.909
22.695892045,7.623
38.744701902,10.13
64.389931381,2.173
8.011441384,4.08
131.658899266,6.46
48.294044494,4.784
8.998303038,7.424
5.151769145,3.12
4.042431005,7.788999999999999
5.186485924,3.406
237.516534703,4.846
12.085304917,3.28
5.050038596,3.894
8.697016293,5.787
24.604365519,4.168
2.347421945,3.76
2.89403685,2.49
12.608595268,64.0
200.690716846,2.668
65.097225959,10.6
4.819782934,4.999
20.571803928,6.085
4.420316377,9.201
3.222891536,7.001
146.83503678,14.186
29.293818295,5.291
15.68011844,5.422999999999999
19.18458468,8.234
48.7122644,2.235
3.237952871,7.053
27.733911607,6.525
5.886223796,2.983
17.935643766,5.105
21.029407321,9.3
3.058140967,3.475
130.974958654,3.6210000000000004
17.933450947,7.197
2.952717889,4.58
106.506643915,4.121
12.563310013,3.659
3.886569364,5.5
23.621238249,7.437
17.040309488,6.018
20.422629999,4.228
4.539435341,5.828
196.003449462,31.257
3.834959426,4.176
132.000845743,7.55
6.549341391,11.571
7.490141524,5.017
127.998862389,4.167
15.761098638,5.889
22.568811421,1.515
8.570589232,6.425
5.320173688,5.311
6.760512428,4.773
169.814177328,4.089
24.771629046,10.211
261.714238955,16.841
6.767263224,2.781
2.456304814,2.04
3.001901527,3.773
3.914869533,8.744
6.313834504,4.733
7.647814046,9.261
116.651468824,4.785
4.305942538,3.349
3.929292385,3.303
90.847671206,31.098
5.769911718,13.16
4.739535138,1.591
137.474904896,8.801
103.060603791,3.06
79.673267098,2.652
15.240404914,5.344
12.494602235,5.877
6.578986852,2.807
206.277309639,3.72
13.56981943,9.671
635.22725192,2.94
129.198027357,3.547
2.392412733,11.108
5.090910025,2.107
2.479716442,10.423
11.231162374,16.439
44.510308357,21.647
2.961874436,4.177
6.543950824,2.789
238.471931243,14.665
17.253304875,6.141
110.344720882,3.258
10.528293579,2.767
5.260702161,12.0
141.907589854,3.77
185.373675058,7.799
4.86138123,5.379
72.932720446,7.019
12.335305588,34.602
20.88390766,6.445
8.358147815,12.982
4.264753709,6.749
17.368876504,2.988
79.000074461,2.68
27.428492364,10.875
43.026389314,6.68
13.768580775,3.0
54.918743089,4.358
6.677659113,7.276
26.413487967,4.049
23.235051399,2.305
5.248986558,2.18
2.986353666,4.48
2.920587732,3.322
4.494938566,2.741
3.522267662,3.03
7.524805143,3.708
5.358541466,3.377
146.130303686,11.084000000000001
45.061914968,2.605
26.505704507,14.525
17.485750843,9.936000000000002
3.153998555,5.884
3.55699968,5.608
97.939786684,5.194
90.634268925,2.29
16.289255412,41.698
2.789720217,2.292
33.946717768,3.411
6.252265706,4.468
24.882306887,4.444
73.184712482,4.379
30.966982177,6.283
18.588106997,6.457
251.53274736,7.631
23.399837694,7.396
22.661113372,4.775
46.605613574,2.392
3.508049608,2.741
6.736813751,76.399
10.263455079,17.285
4.94863305,16.665
14.337336723,3.017
22.038679564,6.345
81.342399633,2.563
32.57941402,8.304
185.007408142,4.632
24.877739268,3.342
7.523641722,14.6
118.489885495,5.723
80.494663357,5.478
6.001340186,3.03
21.734676956,3.734
117.514939141,2.916
105.223251439,3.368
44.1908337,3.7060000000000004
9.703749722,8.354
3.653902208,1.248
87.998244669,5.813
12.216497929,7.897
100.241325868,3.182
19.45724301,2.715
6.10002694,14.275
13.905176418,2.21
3.27109488,2.273
14.3988626,62.588
65.158375873,2.373
35.661822142,24.06
6.132578969,8.622999999999998
2.926774821,2.269
14.31999004,3.691
16.292561047,2.411
83.938899095,10.505999999999998
25.663192492,4.417
15.542263374,6.114
18.073548703,3.138
17.629094846,2.582
4.473431147,4.988
227.149268786,34.684
21.070974602,7.586
4.190032204,14.284
35.649205074,6.292
3.917833842,3.722
5.765181031,9.733
3.943464637,2.603
17.255655698,12.9
16.950451931,3.472
3.420320711,6.55
98.803877589,25.311
10.225513131,39.061
59.801246315,39.6
53.480222555,5.717
8.448421697,4.107
2.811323959,2.383
5.522650273,6.602
34.358234587,12.553
83.607002097,2.893
12.829978982,84.57899999999998
3.839921297,4.028
31.532813427,12.35
3.497419108,2.815
16.10882625,4.371
15.080913402,9.094
10.737731141,3.791
288.749887621,7.046
44.660827789,7.199
5.387175945,4.596
15.07702242,3.135
6.841572275,29.022
7.000796503,5.446
26.380388805,6.121
51.08780393,6.134
3.310648048,2.199
285.998661099,2.098
2.692199002,3.395
6.86569683,1.57
98.965170685,4.909
11.749786884,5.54
12.668006976,7.878999999999999
9.746145767,2.564
570.452157711,2.788
4.601064807,3.584
3.362478626,8.199999999999998
48.363518198,2.67
3.291340717,6.374
6.844186743,6.063
13.552213412,6.747
65.968746557,4.5
8.450660736,7.075
81.20764363,10.495999999999999
5.543439826,2.9560000000000004
9.82115981,7.632999999999999
14.440127286,5.553
6.346874964,4.964
34.447837613,2.867
38.448522667,4.228
53.296209052,24.906
23.221498315,5.245
10.842803273,4.185
316.242163941,2.563
8.698457295,8.916
21.155785169,18.234
12.551672064,8.638999999999998
2.808452532,13.343
4.623632681,21.219
23.110082233,4.573
16.311587845,4.97
656.501641966,5.241
6.736765142,6.368
167.934926172,4.215
10.200019989,3.05
17.423469423,4.486
253.216333281,6.462
10.085256008,5.534
3.014243274,3.781
4.123141838,3.025
7.717136623,5.872
269.185821056,5.892
21.59644616,5.209
15.856629975,14.251
92.947584339,6.416
131.870600483,7.224999999999999
